City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
300,Cayenne,GF,75.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
305,Weligama,LK,83.7,light rain,5.9667,80.4167,Weligama Bay Resort
308,Bubaque,GW,77.2,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
327,San-Pedro,CI,77.13,clear sky,4.7485,-6.6363,Hotel Maria
328,Lodwar,KE,80.1,scattered clouds,3.1191,35.5973,Solmar Gracious Hotel
329,Monteria,CO,76.84,overcast clouds,8.748,-75.8814,Hotel Sinu
341,Luganville,VU,84.65,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
344,Sibolga,ID,76.41,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
350,Hobyo,SO,76.69,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
358,Port Dickson,MY,77.22,light rain,2.5228,101.7959,Glory Beach Resort
361,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
365,Touros,BR,79.7,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
372,Barabai,ID,82.02,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
385,Ngunguru,NZ,77.16,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
387,Jambi,ID,79.54,heavy intensity rain,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
397,Labuhan,ID,83.68,overcast clouds,-6.8844,112.2051,DoubleFAG
399,Benguela,AO,75.99,light rain,-12.5763,13.4055,Hotel Praia Morena
417,Ballina,AU,87.98,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
422,Atambua,ID,81.03,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
423,Kloulklubed,PW,86.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
425,Hambantota,LK,81.63,moderate rain,6.1241,81.1185,Bungalow 63
428,Krabi,TH,88.92,broken clouds,8.0726,98.9105,Tharapark View Hotel
434,Dicabisagan,PH,80.8,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
437,Mbandaka,CD,76.75,overcast clouds,0.0487,18.2603,Guest House Epervier
450,Nabire,ID,78.04,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
451,Tautira,PF,84.22,scattered clouds,-17.7333,-149.15,Pension Oaoa
456,Puerto Colombia,CO,80.69,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
459,Lorengau,PG,83.44,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
462,Kaligutan,PH,82.83,light rain,7.7031,125.8131,Jason edillo
465,Buchanan,LR,77.04,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
472,Port Blair,IN,84.24,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
473,Poso,ID,84.4,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
475,Mtwara,TZ,79.09,light rain,-10.2667,40.1833,TIL Hotels Mtwara
477,Sarangani,PH,81.88,overcast clouds,5.4033,125.4636,Ballistic Islet
481,Teahupoo,PF,78.76,light rain,-17.8333,-149.2667,Vanira Lodge
492,Monrovia,LR,77.11,clear sky,6.3005,-10.7969,Sunset Inn
494,Soyo,AO,75.49,broken clouds,-6.1349,12.3689,Hotel Mpampa
495,Manavalakurichi,IN,86.09,overcast clouds,8.1333,77.3,Jebinrio home
499,Oistins,BB,77.09,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
503,Samarai,PG,83.39,broken clouds,-10.6167,150.6667,Nuli Sapi
508,Lamu,KE,79.02,broken clouds,-2.2717,40.902,Lamu House
515,Naifaru,MV,80.64,scattered clouds,5.4444,73.3657,Naifaru Residence Guest House
519,Robertsport,LR,77.88,clear sky,6.7533,-11.3686,Kwepunha Retreat
528,Kiunga,PG,81.32,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
530,Bonthe,SL,75.61,clear sky,7.5264,-12.505,Bonthe Holiday Village
532,Tecoanapa,MX,75.18,clear sky,16.5167,-98.75,Hotel Manglares
535,Wanning,CN,75.67,broken clouds,18.8003,110.3967,Paradise Hotel
544,Namuac,PH,80.29,few clouds,18.6109,121.1657,Mlin Hotel
548,Paka,MY,78.73,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
553,Santa Cruz Cabralia,BR,79.03,few clouds,-16.2781,-39.0247,Puerto Princesa Inn
556,Nhulunbuy,AU,86.61,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
557,Kawalu,ID,75.78,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
